Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
196,2018-07-18T20:52:11.850,35.8304,129.8079,23.4,3
197,2018-07-20T03:29:33.556,35.8323,129.8193,22.9,2.5
198,2018-07-20T11:50:59.102,35.7704,129.1916,16.5,1.3
199,2018-07-22T01:25:13.027,35.7558,129.179,14.2,0.5
200,2018-07-22T20:21:57.996,35.7736,129.1965,14.4,1.2
201,2018-07-23T02:24:05.086,35.7118,129.4124,13.7,1.4
202,2018-07-24T13:22:42.685,35.7585,129.1922,15.4,0.8
203,2018-07-24T18:35:40.858,35.7123,129.4093,13.5,1.4
204,2018-07-24T18:38:26.253,35.7151,129.4107,13.5,1.5
205,2018-07-26T19:42:10.456,35.7121,129.4086,13.2,0.6
206,2018-07-31T04:00:19.016,35.7606,129.1873,13.2,1.5
207,2018-07-31T21:33:45.994,35.7701,129.1935,14.3,1.8
208,2018-08-01T09:22:40.780,35.6188,129.2136,5.1,1.1
209,2018-08-03T07:32:27.343,35.7541,129.181,13.6,N/A
210,2018-08-05T04:11:03.313,35.756,129.1837,13,0.5
211,2018-08-05T05:38:35.782,35.7771,129.1975,14.2,0.6
212,2018-08-05T16:04:58.404,35.7676,129.1811,13.4,0.5
213,2018-08-05T20:06:42.252,35.779,129.206,13.4,-0.1
214,2018-08-06T14:55:27.243,35.7623,129.1841,13.5,0.6
215,2018-08-07T19:46:09.067,35.7162,129.4047,12.8,0.6
216,2018-08-13T22:37:35.751,35.7597,129.1844,15,1.4
217,2018-08-22T17:04:32.649,35.6731,129.3725,13.1,0.7
218,2018-08-22T22:23:00.819,35.6828,129.3715,12.5,1.8
219,2018-08-25T12:04:35.135,35.7514,129.1862,15,N/A
220,2018-08-25T14:04:08.051,35.6895,129.4939,11,0.8
221,2018-08-27T22:06:21.605,35.7654,129.1916,16.7,1.3
222,2018-08-28T08:57:16.174,35.6242,129.241,12.4,1
223,2018-08-28T11:05:10.413,35.7556,129.1878,15.2,0.7
224,2018-08-29T11:20:31.026,35.7672,129.1879,12.9,2.2
225,2018-08-30T03:15:55.274,35.7281,128.54,13.9,N/A
226,2018-08-30T03:50:38.259,35.7468,129.1936,15.2,1.2
227,2018-08-31T16:47:36.276,35.7509,129.1808,14.6,0.3
228,2018-09-03T11:11:11.612,35.7673,129.1965,12.6,0.6
229,2018-09-05T16:29:16.911,35.5319,128.8303,10.1,1.7
230,2018-09-05T23:32:09.201,35.7745,129.191,12.1,0.7
231,2018-09-07T15:13:03.669,35.7602,129.1692,15.4,0.3
232,2018-09-08T09:10:50.649,35.7743,129.194,13.4,0.3
233,2018-09-11T08:49:41.890,35.6181,129.2136,4.1,1.4
234,2018-09-12T17:15:24.463,35.7689,129.1912,13.7,0.5
235,2018-09-15T20:58:01.233,35.745,129.1775,16,0.7
236,2018-09-16T10:18:18.400,35.7596,129.1895,13.6,0.6
237,2018-09-16T10:21:16.092,35.7693,129.1927,14.5,1
238,2018-09-17T05:10:50.219,35.7632,129.1765,8.8,1
239,2018-09-17T16:56:49.841,35.7751,129.2038,15.2,0.4
240,2018-09-29T08:22:48.732,35.7677,129.187,15.5,N/A
241,2018-09-30T19:14:48.183,35.7655,129.1897,13.2,0.7
242,2018-10-07T15:25:39.240,35.7687,129.1864,14.1,0.8
243,2018-10-09T18:55:00.431,35.78,129.1947,13.1,0.3
244,2018-10-19T15:53:18.997,35.7284,129.3905,15.4,0.6
245,2018-10-20T15:35:09.420,35.8606,129.4733,11.1,1.3
246,2018-10-24T20:53:46.732,35.7639,129.1878,15.8,2.5
247,2018-10-25T22:57:43.221,35.8456,129.7253,17.9,2.2
248,2018-10-26T14:31:25.415,35.7664,129.2,15.8,0.4
249,2018-10-27T16:49:02.639,35.8442,129.7157,17.7,1.2
250,2018-10-29T01:31:33.979,35.756,129.1892,15,0.5
251,2018-10-30T09:08:06.514,35.9843,129.6274,17.5,1.7
252,2018-10-30T13:46:42.665,35.7578,129.1771,13.7,1.2
253,2018-10-30T16:25:20.512,35.7101,129.3633,11.3,0.7
254,2018-11-02T07:14:48.885,35.7536,129.1663,14.3,1.2
255,2018-11-03T16:38:53.214,35.9047,129.7136,16.6,1.4
256,2018-11-04T22:54:17.762,35.8482,129.7123,18,2.1
257,2018-11-05T21:36:00.245,35.7348,129.0054,15.7,1.2
258,2018-11-07T06:11:29.472,35.7566,129.1781,15.2,1.9
259,2018-11-07T20:29:32.422,35.7658,129.1944,11.9,0
260,2018-11-16T07:33:06.647,35.6179,129.2136,3.6,0.9
261,2018-11-16T11:40:50.849,35.7554,129.192,14.4,0.5
262,2018-11-20T00:27:41.250,35.7685,129.2001,17.6,0.5
263,2018-11-20T08:11:10.869,35.7529,129.1921,16.1,1.2
264,2018-11-21T05:25:26.061,35.7562,129.1987,16.8,0.4
265,2018-11-22T09:36:18.730,35.911,129.7259,17.4,2.5
266,2018-11-22T19:00:52.519,35.6163,129.1217,13.6,0.8
267,2018-11-24T12:47:08.539,35.7508,129.1798,15.8,1.2
268,2018-11-24T13:42:54.359,35.7596,129.1857,14.1,1.6
269,2018-11-24T20:06:15.374,35.7996,129.1595,9.6,0.4
270,2018-11-25T09:35:45.070,35.5247,128.8766,13.3,N/A
271,2018-11-26T18:37:21.560,35.7687,129.3633,13.3,0.8
272,2018-11-27T07:17:31.857,35.7951,129.4187,13.6,2.5
273,2018-11-30T02:44:22.410,35.7715,129.1732,14.5,1.3
274,2018-12-01T05:39:12.415,35.8647,129.3895,12.3,1.5
275,2018-12-02T00:53:36.644,35.7826,129.2087,15,0.5
276,2018-12-04T17:25:08.081,35.7306,129.4069,11.6,0.5
277,2018-12-05T17:54:35.873,35.7898,129.1926,3.6,-0.7
278,2018-12-05T17:55:18.411,35.7551,129.1849,13.6,0.6
279,2018-12-06T13:16:35.633,35.7742,129.0652,17.6,1.2
280,2018-12-07T18:27:15.609,35.8258,129.7916,22.2,1.7
281,2018-12-08T23:03:24.968,35.7906,129.1887,12.8,1.4
282,2018-12-09T12:04:38.611,35.7645,129.1911,14.2,0.7
283,2018-12-14T12:38:27.776,35.7914,129.3867,16.5,1.2
284,2018-12-16T23:25:49.471,35.7653,129.3782,10.6,0.9
285,2018-12-17T01:36:15.227,35.767,129.2,15.5,0.6
286,2018-12-19T17:31:22.721,35.7646,129.1882,15.6,0.4
287,2018-12-21T19:55:04.206,35.7459,129.1765,15.5,0.1
288,2018-12-22T09:51:48.656,35.7675,129.1905,14.5,0.4
289,2018-12-23T14:17:59.456,35.716,129.3958,11.5,0.2
290,2018-12-24T09:38:04.178,35.7806,129.2014,14.9,0.4
291,2018-12-25T02:09:03.305,35.7417,129.2339,16.3,0.3
292,2018-12-25T07:21:05.985,35.7649,129.1905,16.2,1.5
293,2018-12-25T08:59:01.749,35.7584,129.1931,16.2,0.4
294,2018-12-25T15:14:06.019,35.7724,129.1805,12.1,-0.2
295,2018-12-26T07:43:07.243,35.7552,129.1882,15.3,0.7
296,2018-12-28T15:26:37.645,35.7553,129.1837,12.7,1.3
297,2018-12-29T12:36:46.103,35.9,129.6422,17.2,1
298,2018-12-30T17:55:53.182,35.8984,129.638,19.3,1.1
