Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2014,9,29,2,40,28,35.6366,129.3763,0.4,11.32
2014,9,29,5,30,15,35.798,129.4124,0.19,13.79
2014,9,29,19,51,17,35.7995,129.4183,0.51,14.38
2014,9,29,20,59,14,35.6898,129.374,0.25,11.13
2014,10,1,23,27,19,35.8019,129.4151,0.5,14.09
2014,10,2,2,37,51,35.7315,129.3686,0.14,10.26
2014,10,2,15,21,48,35.704,129.3194,0.3,16.2
2014,10,3,4,5,55,35.79,129.4194,1.0,15.01
2014,10,3,20,8,57,35.7979,129.4156,0.67,14.69
2014,10,4,20,4,30,35.8028,129.4156,0.55,13.78
2014,10,5,12,41,36,35.7938,129.4154,0.43,15.22
2014,10,5,21,3,42,35.7998,129.4118,0.86,14.06
2014,10,8,3,24,51,35.8034,129.421,0.34,14.51
2014,10,8,20,12,43,35.7932,129.4119,1.0,14.72
2014,10,9,7,31,31,35.7982,129.4135,2.01,14.82
2014,10,10,4,22,20,35.8004,129.4188,0.92,15.11
2014,10,10,21,54,29,35.6851,129.3749,0.58,11.46
2014,10,14,18,35,0,35.7846,129.3658,0.57,14.62
2014,10,19,16,30,9,35.7979,129.4129,0.13,14.52
2014,10,19,16,31,0,35.797,129.4209,0.42,15.58
2014,10,21,21,1,47,35.7999,129.4171,0.92,14.41
2014,10,23,19,16,45,35.7999,129.4216,0.24,14.63
2014,10,28,9,25,20,35.8031,129.417,1.52,14.56
2014,10,31,13,12,0,35.7868,129.4201,0.49,14.73
2014,11,4,1,26,41,35.734,129.4106,-0.0,12.14
2014,11,4,2,11,5,35.7284,129.4013,0.47,11.98
2014,11,4,2,17,58,35.7342,129.4076,0.16,12.26
2014,11,4,2,32,58,35.7255,129.3978,0.58,11.98
2014,11,4,3,10,3,35.7328,129.407,0.22,12.33
2014,11,4,3,32,53,35.7267,129.3985,1.11,12.06
2014,11,4,5,18,7,35.7325,129.4065,0.2,12.2
2014,11,4,10,5,51,35.7217,129.4024,1.43,11.41
2014,11,4,10,9,4,35.7279,129.4006,0.8,11.77
2014,11,4,12,30,11,35.7248,129.3971,0.81,11.91
2014,11,4,20,0,11,35.7326,129.4074,0.48,12.3
2014,11,5,1,57,5,35.736,129.4096,0.16,12.41
2014,11,9,23,16,14,35.7173,129.3532,0.45,9.03
2014,11,9,23,48,57,35.8007,129.418,0.28,14.18
2014,11,10,15,52,48,35.7961,129.4156,0.73,14.58
2014,11,12,17,44,17,35.7994,129.412,2.26,14.86
2014,11,12,17,45,27,35.7995,129.4128,0.38,14.52
2014,11,13,1,48,23,35.7992,129.4128,0.93,15.11
2014,11,20,3,11,43,35.7857,129.3691,0.17,14.39
2014,11,21,7,36,36,35.7228,129.4147,0.49,6.35
2014,11,24,9,52,6,35.7964,129.41,0.67,14.84
2014,11,26,12,38,22,35.7681,129.5331,1.0,18.92
2014,12,3,13,40,43,35.7686,129.3771,0.59,12.97
2014,12,4,5,25,36,35.7998,129.4133,0.85,14.12
2014,12,5,12,57,39,35.8258,129.392,0.91,11.29
2014,12,7,5,10,1,35.8033,129.4127,2.33,14.46
2014,12,7,11,8,32,35.8027,129.412,1.66,14.33
2014,12,11,9,30,57,35.8027,129.414,1.69,14.15
2014,12,13,22,18,42,35.7997,129.4311,0.56,16.37
2014,12,20,1,9,15,35.6183,129.4859,0.61,8.83
2014,12,28,2,31,6,35.6834,129.3734,1.0,11.63
2015,1,4,3,25,37,35.8043,129.418,1.12,15.28
2015,1,7,23,29,44,35.7255,129.4035,1.0,10.39
2015,1,10,2,33,55,35.7253,129.3643,0.92,10.03
2015,1,10,10,37,17,35.7309,129.4122,1.0,11.77
2015,1,11,4,13,12,35.7265,129.3613,0.88,9.91
2015,1,13,5,1,1,35.7196,129.3549,0.59,9.57
2015,1,16,4,5,26,35.7167,129.4035,0.53,13.68
2015,1,16,13,29,13,35.7248,129.3495,0.73,8.65
2015,1,16,21,32,54,35.7122,129.393,0.64,12.96
2015,1,18,22,49,30,35.6841,129.3714,1.19,11.41
2015,1,26,8,22,55,35.7292,129.3663,0.82,19.65
2015,1,31,9,34,1,35.6739,129.3633,0.65,11.77
2015,2,4,0,26,56,35.7986,129.4268,1.14,14.67
2015,2,4,12,22,4,35.7085,129.3299,0.61,8.21
2015,2,7,12,43,31,35.659,129.2806,0.33,4.08
2015,2,27,4,34,10,35.7968,129.4085,1.11,15.27
2015,3,2,21,7,25,35.7661,129.3965,0.43,11.81
2015,3,5,2,11,27,35.7843,129.3765,0.41,13.79
2015,3,10,22,13,16,35.8049,129.4068,0.59,15.04
2015,3,11,18,10,32,35.7847,129.3525,0.67,15.75
2015,3,14,8,31,50,35.8047,129.3817,1.48,9.43
2015,3,16,11,59,32,35.681,129.3795,0.38,12.82
2015,3,18,0,19,24,35.7404,129.4574,0.75,9.89
2015,3,18,0,25,14,35.7334,129.4649,0.21,9.83
