event_idx,event_time,year,n_const,ml_const_inv,ml_const
3246,2016-09-14 22:59:38.910000+00:00,2016,2,0.029365561904256855,0.042459880601911734
3248,2016-09-14 23:09:34.460000+00:00,2016,5,1.3360829210824334,1.2158718457734463
3249,2016-09-14 23:27:20.270000+00:00,2016,5,1.2309562517876282,1.2240590188438902
3250,2016-09-14 23:28:19.950000+00:00,2016,5,1.2598664281574747,1.2441261975998708
3252,2016-09-14 23:32:09.310000+00:00,2016,2,-0.1339919137901492,-0.1208975950924943
3253,2016-09-14 23:34:50.750000+00:00,2016,1,-0.09299004896151675,-0.059904178622469065
3254,2016-09-14 23:54:54.810000+00:00,2016,1,-0.21676063907367354,-0.18367476873462585
3256,2016-09-14 23:57:14.020000+00:00,2016,3,0.4433348741711797,0.43643764122744183
3257,2016-09-14 23:57:28.050000+00:00,2016,1,-0.01836499595231464,0.014720874386733036
3258,2016-09-15 00:01:48.520000+00:00,2016,3,0.30417627599286234,0.2836105994337588
3259,2016-09-15 00:08:07.610000+00:00,2016,5,1.2166286496081475,1.2097314166644095
3260,2016-09-15 00:09:17.020000+00:00,2016,3,0.21164362157469951,0.19988897817540435
3261,2016-09-15 00:11:29.370000+00:00,2016,4,0.18222089201824895,0.19531521071590383
3262,2016-09-15 00:18:17.100000+00:00,2016,2,-0.3096467924676559,-0.3532093949526257
3263,2016-09-15 00:19:51.430000+00:00,2016,4,0.5713299270910317,0.5103178893112308
3264,2016-09-15 00:21:05.110000+00:00,2016,2,0.02189926516135355,0.03499358385900843
3265,2016-09-15 00:24:16.530000+00:00,2016,4,1.6070595645395973,1.622695999583814
3266,2016-09-15 00:24:35.170000+00:00,2016,1,1.869324419366066,1.7491133440570787
3267,2016-09-15 00:25:51.410000+00:00,2016,5,0.590946381756513,0.5840491488127751
3268,2016-09-15 00:26:04.620000+00:00,2016,5,1.8247014870832299,1.7703836181083072
3269,2016-09-15 00:28:31.420000+00:00,2016,1,-0.013145385600140641,0.019940484738907034
3270,2016-09-15 00:31:35.940000+00:00,2016,4,0.6655492142322432,0.6045371764524423
3271,2016-09-15 00:44:24.350000+00:00,2016,2,0.13967913374363417,0.15531556878785072
3272,2016-09-15 00:56:10.850000+00:00,2016,2,0.43609966479078666,0.44919398348844153
3273,2016-09-15 00:58:31.610000+00:00,2016,3,0.22346239493073572,0.1032513196217485
3274,2016-09-15 01:19:54.170000+00:00,2016,3,0.09993924507555044,0.09304201213181253
3275,2016-09-15 01:21:19.490000+00:00,2016,1,-0.5812147115628006,-0.5481288412237529
3276,2016-09-15 01:23:25.800000+00:00,2016,3,0.5797793269242448,0.4595682516152576
3277,2016-09-15 01:33:11.700000+00:00,2016,1,-0.8136746864700213,-0.7805888161309736
3278,2016-09-15 01:38:23.370000+00:00,2016,3,0.46866863682046866,0.4806748339505195
3280,2016-09-15 01:58:24.260000+00:00,2016,3,0.14649381892233548,0.1585000160523863
3281,2016-09-15 02:04:18.560000+00:00,2016,4,0.34891461046585037,0.3514690925590068
3282,2016-09-15 02:06:03.880000+00:00,2016,2,0.11271353359366292,0.06915093110869314
3283,2016-09-15 02:16:29.610000+00:00,2016,1,-0.7714617971562412,-0.7383759268171936
3284,2016-09-15 02:18:32.130000+00:00,2016,2,-0.22678976530454856,-0.21369544660689369
3285,2016-09-15 02:20:18.110000+00:00,2016,4,0.49487276472539676,0.43386072694559585
3286,2016-09-15 02:28:31.570000+00:00,2016,5,1.0005144354834785,0.9122670862950019
3287,2016-09-15 02:33:39.460000+00:00,2016,5,0.7474382275024849,0.7456252272518703
3288,2016-09-15 02:46:40.940000+00:00,2016,5,0.45977579418021935,0.4696986057204656
3289,2016-09-15 02:57:47.900000+00:00,2016,3,0.20475430787947446,0.11083730038632844
3290,2016-09-15 03:03:52.700000+00:00,2016,2,0.0526581948691405,0.0657525135667954
3291,2016-09-15 03:05:57.100000+00:00,2016,2,0.1809837824871181,0.194078101184773
3292,2016-09-15 03:06:55.050000+00:00,2016,3,0.12997409568128174,0.12307686273754383
3293,2016-09-15 03:16:23.740000+00:00,2016,5,2.019330097318379,2.0175170970677643
3294,2016-09-15 03:24:22.970000+00:00,2016,1,-0.20873580282645474,-0.17564993248740707
3295,2016-09-15 03:25:31.990000+00:00,2016,1,-0.31045525524870565,-0.27736938490965796
3296,2016-09-15 03:33:46.200000+00:00,2016,4,0.28325685981725923,0.24191340483717017
3297,2016-09-15 03:51:14.290000+00:00,2016,3,0.19837290166409516,0.210379098794146
3298,2016-09-15 03:52:01.950000+00:00,2016,5,0.6557009691640319,0.6562668078465134
