event_idx,event_time,year,n_used,ml_ufraw,ml_ufcorr
403,2013-03-22 06:10:47.860000+00:00,2013,5,0.8101689427038725,0.8639114218403416
404,2013-03-22 11:58:50.970000+00:00,2013,6,0.9168639048007158,0.9917854696838075
405,2013-03-22 13:40:04.330000+00:00,2013,5,0.9185224551639796,0.9605931893006746
406,2013-03-23 01:53:21.060000+00:00,2013,1,0.0834128301394201,0.3207222373064906
410,2013-03-24 17:02:10.460000+00:00,2013,1,-0.0375552072622582,0.19975419990481227
412,2013-03-27 11:50:22.200000+00:00,2013,6,0.7224895261956821,0.8138254277114206
413,2013-03-27 16:20:30.970000+00:00,2013,1,-0.2107924122794147,0.02651699488765577
414,2013-03-28 01:52:09.870000+00:00,2013,2,0.10032639850833415,0.24001646916021688
415,2013-03-31 11:14:24.300000+00:00,2013,4,0.43960456841473483,0.5143689959147607
416,2013-03-31 13:25:07.740000+00:00,2013,3,0.020683812836487,0.062754546973182
417,2013-03-31 19:32:18.690000+00:00,2013,3,0.2366819295501823,0.38725730179955054
418,2013-03-31 21:44:23.970000+00:00,2013,4,0.5350941034525806,0.6598170332486558
419,2013-04-01 19:43:55.180000+00:00,2013,3,0.401788692047835,0.44385942618453
422,2013-04-24 04:06:13.360000+00:00,2013,2,0.37815534680347407,0.5178454174553568
423,2013-04-24 13:20:27.360000+00:00,2013,4,0.5802136419391051,0.6185996136068854
426,2013-05-08 03:33:04.250000+00:00,2013,4,0.5934837353638455,0.8158260016751084
430,2013-06-02 19:06:06.210000+00:00,2013,6,0.8482555509984137,0.9167099048834666
431,2013-06-07 02:40:22.460000+00:00,2013,4,0.692024783631285,0.9143670499425479
433,2013-06-13 20:24:17.750000+00:00,2013,2,0.23227075773143244,0.3682760659144005
438,2013-06-23 19:02:18.600000+00:00,2013,4,0.669015214198752,0.8087052848506348
440,2013-06-29 15:54:11.130000+00:00,2013,2,0.016666880153820646,0.1563569508057034
441,2013-06-29 21:08:52.710000+00:00,2013,4,0.3010881191137349,0.41980960861229205
442,2013-06-30 03:58:41.590000+00:00,2013,5,0.8770715052041289,0.9476448421919539
443,2013-06-30 04:06:36.150000+00:00,2013,5,1.0010993555410783,1.229985695005811
447,2013-07-10 11:00:47.830000+00:00,2013,5,0.7553587400537953,0.9119367319883482
451,2013-07-13 17:38:33.600000+00:00,2013,4,0.48552005327306835,0.550846984812538
453,2013-07-21 23:46:30.400000+00:00,2013,1,0.2657106436054397,0.5030200507725102
454,2013-07-23 16:59:56.330000+00:00,2013,4,0.33741193887792054,0.3952803642386539
456,2013-07-26 14:28:56.890000+00:00,2013,4,0.47236256462245463,0.546777216166702
457,2013-07-26 21:56:48.090000+00:00,2013,1,0.333948436605274,0.3686496458041396
458,2013-08-17 03:20:24.260000+00:00,2013,3,0.4129304539339586,0.5625883593718701
459,2013-08-17 03:26:46.970000+00:00,2013,2,0.5895927393914369,0.8119350057026998
460,2013-08-17 03:28:33.810000+00:00,2013,3,0.3013920015487414,0.5087671270041969
463,2013-08-26 17:38:06.670000+00:00,2013,5,0.8449701371830602,0.8870408713197553
465,2013-09-06 09:14:32.600000+00:00,2013,6,1.1242068256337574,1.1979348619002237
466,2013-09-07 03:22:26.350000+00:00,2013,2,0.26360415394144887,0.40329422459333164
469,2013-09-14 15:06:27.250000+00:00,2013,6,1.505615018038665,1.5440009897064453
471,2013-09-19 23:40:23.290000+00:00,2013,4,0.4591035416124831,0.516903203070533
473,2013-09-23 18:24:37.600000+00:00,2013,3,0.2377020395204789,0.4450771649759344
474,2013-09-24 02:57:37.490000+00:00,2013,3,0.4894191507942442,0.6508551352294434
475,2013-09-26 13:56:38.200000+00:00,2013,4,0.591028459306117,0.7120666266332776
476,2013-09-27 02:39:53.890000+00:00,2013,4,0.848385174195907,0.9911438563491294
477,2013-09-29 04:22:47.940000+00:00,2013,4,0.5579044897410742,0.5962904614088546
480,2013-10-05 22:31:11.170000+00:00,2013,2,0.23620621678531037,0.3758962874371931
481,2013-10-11 03:45:58.450000+00:00,2013,2,0.35825892814148963,0.4979489987933724
482,2013-10-11 09:52:26.560000+00:00,2013,2,0.1845037313067744,0.3241938019586571
483,2013-10-18 20:54:30.660000+00:00,2013,3,0.4083494876244666,0.4504202217611616
484,2013-10-18 21:02:58.820000+00:00,2013,3,0.5145737269016262,0.5492749361004918
485,2013-10-19 23:27:13.220000+00:00,2013,1,0.0317323489308294,0.2690417560978999
487,2013-11-06 06:48:26.610000+00:00,2013,4,0.8635457804738021,0.9019317521415825
488,2013-11-09 23:26:47.730000+00:00,2013,4,1.2421487652055223,1.2842194993422174
489,2013-11-13 19:24:34.450000+00:00,2013,3,0.5048457974757501,0.6916544840179504
490,2013-11-14 01:28:56.850000+00:00,2013,3,0.5688372525800776,0.6891327573341913
