event_idx,time,lat,lon,depth,num,gap,rms,erh,erz,qual,year,cluster,magnitude,magnitude_std,n_used,n_total,snr_median,mag_status,ml_all,mv_nP,mv_app,mv_rms,mv_rho,mv_inlier,coherence_fail
7646,2018-01-21 21:28:24.050,36.0362,128.7565,10.83,6,208,0.06,4.7,2.1,D,2018,-1,0.4667643324782298,0.2952166461762683,3,19,3.4533602450497054,ok,0.4667643324782298,5.0,5.788387943851569,1.189848309942212,0.8999999999999998,0.4,True
7775,2018-02-10 22:51:22.690,36.0728,129.3283,6.61,18,69,0.11,0.3,0.6,A,2018,11,0.4269237832163681,0.2781835264080398,6,19,4.593067903055348,ok,0.4269237832163681,5.0,6.314095153381102,4.1594413605803355,0.39999999999999997,0.0,True
7950,2018-02-18 16:12:09.870,36.0758,129.3233,6.18,14,146,0.12,0.4,0.7,B,2018,11,0.4455620683814267,0.4666104180176925,5,19,4.71722599516368,ok,0.4500447750032772,10.0,5.724354915293459,6.906979187530526,0.7818181818181817,0.0,True
8860,2018-09-26 12:14:40.670,35.7742,129.1922,13.04,26,77,0.1,0.4,0.5,A,2018,34,0.4221765986522529,0.2155589284572528,6,29,3.5658133377694905,ok,0.4221765986522529,5.0,7.37625285785408,1.19355214012795,0.9999999999999999,0.2,True
9336,2019-02-18 05:15:37.070,35.5819,129.4025,45.31,7,244,0.13,1.9,1.9,C,2019,-1,1.2490085012342764,0.1014329494533366,4,36,4.07826921662001,ok,1.3247192020264584,5.0,12.2425813572801,6.226622896638092,0.09999999999999999,0.2,True
9390,2019-03-13 04:49:54.390,35.9306,129.4238,28.79,12,95,0.45,2.6,3.5,C,2019,-1,2.038917165482206,0.3627551578121475,21,37,38.9422756611159,ok,2.118576775961703,15.0,11.825178593035941,2.631126968192658,0.4142857142857142,0.4,True
9508,2019-04-16 01:33:49.360,35.3481,129.3378,16.75,9,236,0.57,3.2,2.9,D,2019,-1,0.9708156433375668,0.16170456553982,5,40,3.658526911215831,ok,1.038722694719871,12.0,12.067267918727618,2.385940342922124,0.5524475524475525,0.3333333333333333,True
9739,2019-06-12 14:28:35.630,35.6658,129.4637,14.93,8,189,0.52,1.9,3.5,D,2019,-1,1.0114340507616348,0.4931238731843632,21,41,9.451709710847048,ok,1.3461844526631928,8.0,18.403212593617027,2.5273914524292493,0.4523809523809524,0.375,True
9740,2019-06-12 16:05:04.850,35.6774,129.3719,23.95,11,173,0.24,1.3,1.8,C,2019,-1,1.0961594985253122,0.3479674805310334,20,41,9.611577107959317,ok,1.252328661164936,7.0,6.328398805836343,2.681080264873428,0.6071428571428572,0.2857142857142857,True
10764,2020-05-11 10:45:50.210,36.039,128.6521,26.02,8,231,0.15,1.3,1.8,C,2020,-1,2.145822698736546,0.1625277810007545,12,42,56.89314002690426,ok,2.251114567821682,13.0,6.929198168766901,1.9182725909742708,0.9560439560439561,0.3076923076923077,True
10768,2020-05-13 06:19:23.180,35.9763,128.8717,20.6,21,170,0.59,1.8,4.3,D,2020,-1,1.7424094023242551,0.3869598250385656,24,42,16.32273853278092,ok,1.9013621772761184,9.0,7.145580234198541,3.2016977215926206,0.5333333333333333,0.0,True
