net,sta,start,end,n_days
KS,USN,2016-01-06,2016-01-06,1
KS,USN2,2016-05-31,2016-08-02,64
KS,USN2,2016-08-07,2016-08-07,1
KS,USN2,2016-09-06,2016-09-07,2
KS,USN2,2016-09-09,2016-09-09,1
KS,USN2,2016-11-18,2017-12-15,393
KS,USN2,2017-12-25,2017-12-31,7
KS,USN2,2021-04-09,2021-04-09,1
KS,USN2,2024-11-01,2025-12-31,426
KS,USN2,2026-01-03,2026-05-09,127
KS,USN2,2026-05-14,2026-05-14,1
KS,USN2,2026-05-17,2026-05-17,1
KS,USN2,2026-07-14,2026-07-16,3
KS,YALB,2018-03-09,2025-12-31,2855
KS,YALB,2026-01-03,2026-05-09,127
KS,YALB,2026-05-14,2026-05-14,1
KS,YALB,2026-05-17,2026-05-17,1
KS,YALB,2026-07-14,2026-07-16,3
KS,YEAB,2018-12-19,2025-12-31,2570
KS,YEAB,2026-01-03,2026-05-09,127
KS,YEAB,2026-05-14,2026-05-14,1
KS,YEAB,2026-05-17,2026-05-17,1
KS,YEAB,2026-07-14,2026-07-16,3
KS,YEYB,2016-05-31,2025-12-31,3502
KS,YEYB,2026-01-03,2026-05-09,127
KS,YEYB,2026-05-14,2026-05-14,1
KS,YEYB,2026-05-17,2026-05-17,1
KS,YEYB,2026-07-14,2026-07-16,3
KS,YGAA,2018-03-09,2025-12-31,2855
KS,YGAA,2026-01-03,2026-05-09,127
KS,YGAA,2026-05-14,2026-05-14,1
KS,YGAA,2026-05-17,2026-05-17,1
KS,YGAA,2026-07-14,2026-07-16,3
KS,YGBA,2018-12-19,2019-03-17,89
KS,YGBA,2024-11-01,2025-12-31,426
KS,YGBA,2026-01-03,2026-05-09,127
KS,YGBA,2026-05-14,2026-05-14,1
KS,YGBA,2026-05-17,2026-05-17,1
KS,YGBA,2026-07-14,2026-07-16,3
KS,YOC,2010-01-01,2026-07-16,6041
KS,YOCB,2015-10-01,2015-11-30,61
KS,YOCB,2016-01-03,2016-01-03,1
KS,YOCB,2016-01-06,2016-01-06,1
KS,YOCB,2016-02-18,2016-02-21,4
KS,YOCB,2016-12-13,2016-12-13,1
KS,YOCB,2016-12-17,2016-12-27,11
KS,YOCB,2024-11-01,2025-12-31,426
KS,YOCB,2026-01-03,2026-05-09,127
KS,YOCB,2026-05-14,2026-05-14,1
KS,YOCB,2026-05-17,2026-05-17,1
KS,YOCB,2026-07-14,2026-07-16,3
KS,YOD,2010-01-01,2026-07-16,6041
KS,YODB,2015-10-01,2025-12-31,3745
KS,YODB,2026-01-03,2026-05-09,127
KS,YODB,2026-05-14,2026-05-14,1
KS,YODB,2026-05-17,2026-05-17,1
KS,YODB,2026-07-14,2026-07-16,3
