net,sta,start,end,n_days,source
KS,BUS3,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,CGDA,2024-07-06 00:00:00,2024-07-07 00:00:00,2,NECIS
KS,CGDA,2024-11-01 00:00:00,2025-12-31 00:00:00,426,NECIS
KS,CGDA,2026-01-04 00:00:00,2026-05-09 00:00:00,126,NECIS
KS,CGDA,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,CGDA,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
KS,CGDA,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,CGWB,2018-03-09 00:00:00,2025-12-31 00:00:00,2855,NECIS
KS,CGWB,2026-01-02 00:00:00,2026-01-02 00:00:00,1,NECIS
KS,CGWB,2026-01-04 00:00:00,2026-05-09 00:00:00,126,NECIS
KS,CGWB,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,CGWB,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
KS,CGWB,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,CHR,2010-01-01 00:00:00,2026-07-16 00:00:00,6041,NECIS
KS,CHRA,2018-03-09 00:00:00,2026-07-16 00:00:00,3052,NECIS
KS,CHRB,2018-12-19 00:00:00,2025-12-31 00:00:00,2570,NECIS
KS,CHRB,2026-01-04 00:00:00,2026-05-09 00:00:00,126,NECIS
KS,CHRB,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,CHRB,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
KS,CHRB,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,CHS,2010-01-01 00:00:00,2026-07-16 00:00:00,6041,NECIS
KS,CIG,2010-01-01 00:00:00,2026-07-16 00:00:00,6041,NECIS
KS,CIGB,2016-05-31 00:00:00,2025-12-31 00:00:00,3502,NECIS
KS,CIGB,2026-01-04 00:00:00,2026-05-09 00:00:00,126,NECIS
KS,CIGB,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,CIGB,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
KS,CIGB,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,CLSA,2018-12-19 00:00:00,2025-12-31 00:00:00,2570,NECIS
KS,CLSA,2026-01-02 00:00:00,2026-01-02 00:00:00,1,NECIS
KS,CLSA,2026-01-04 00:00:00,2026-05-09 00:00:00,126,NECIS
KS,CLSA,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,CLSA,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
KS,CLSA,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,CSO,2014-08-01 00:00:00,2026-07-16 00:00:00,4368,NECIS
KS,CSOA,2018-03-22 00:00:00,2018-12-31 00:00:00,285,NECIS
KS,CSOA,2021-01-01 00:00:00,2021-05-23 00:00:00,143,NECIS
KS,CSOA,2021-05-25 00:00:00,2021-12-31 00:00:00,221,NECIS
KS,CSOA,2022-04-03 00:00:00,2022-04-03 00:00:00,1,NECIS
KS,CSOA,2024-11-01 00:00:00,2025-12-31 00:00:00,426,NECIS
KS,CSOA,2026-01-04 00:00:00,2026-05-09 00:00:00,126,NECIS
KS,CSOA,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,CSOA,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
KS,CSOA,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,DAG,2010-01-04 00:00:00,2010-11-01 00:00:00,302,NECIS
KS,DAG2,2010-11-01 00:00:00,2010-11-04 00:00:00,4,NECIS
KS,DAG2,2011-01-12 00:00:00,2011-01-12 00:00:00,1,NECIS
KS,DAG2,2011-01-14 00:00:00,2011-01-14 00:00:00,1,NECIS
KS,DAG2,2011-02-27 00:00:00,2011-03-01 00:00:00,3,NECIS
KS,DAG2,2011-03-06 00:00:00,2011-03-08 00:00:00,3,NECIS
KS,DAG2,2011-03-13 00:00:00,2011-03-14 00:00:00,2,NECIS
KS,DAG2,2011-03-20 00:00:00,2011-03-20 00:00:00,1,NECIS
